alias,quiz_title,earned_points,total_points_available
Nathaniel,Multiple-choice quiz | The RStudio IDE,10,10
Nathaniel,Multiple-choice quiz | The RStudio IDE,9,10
Nathaniel,Multiple-choice quiz | The RStudio IDE,9,10
Nathaniel,Multiple-choice quiz | The RStudio IDE,9,10
Nathaniel,Multiple-choice quiz | Installing R and RStudio,3,3
Virgil,Multiple-choice quiz | The RStudio IDE,10,10
Erik,Multiple-choice quiz | Coding basics,15,15
Erik,Multiple-choice quiz | Coding basics,13,15
Erik,Multiple-choice quiz | Coding basics,11,15
Gonca,Multiple-choice quiz | Coding basics,15,15
Gonca,Multiple-choice quiz | Coding basics,12,15
Gonca,Multiple-choice quiz | Coding basics,7,15
Virgil,Multiple-choice quiz | Installing R and RStudio,3,3
Arlene,Multiple-choice quiz | Installing R and RStudio,2,3
Aylin,Multiple-choice quiz | Coding basics,14,15
Louis,Multiple-choice quiz | Coding basics,15,15
Imran,Multiple-choice quiz | The RStudio IDE,10,10
Dhanashri,Multiple-choice quiz | Coding basics,15,15
Imran,Multiple-choice quiz | Installing R and RStudio,3,3
Calisto,Multiple-choice quiz | Coding basics,15,15
Aylin,Multiple-choice quiz | The RStudio IDE,10,10
Calisto,Multiple-choice quiz | The RStudio IDE,10,10
Isabel,Multiple-choice quiz | Installing R and RStudio,3,3
Louis,Multiple-choice quiz | The RStudio IDE,10,10
Calisto,Multiple-choice quiz | Installing R and RStudio,3,3
Ian,Multiple-choice quiz | The RStudio IDE,8,10
Ian,Multiple-choice quiz | Installing R and RStudio,3,3
Ian,Multiple-choice quiz | Installing R and RStudio,2,3
Ian,Multiple-choice quiz | Coding basics,15,15
Ian,Multiple-choice quiz | Coding basics,11,15
Ian,Multiple-choice quiz | Installing R and RStudio,2,3
Aylin,Multiple-choice quiz | Installing R and RStudio,3,3
Louis,Multiple-choice quiz | Installing R and RStudio,3,3
Dhanashri,Multiple-choice quiz | The RStudio IDE,8,10
Stanislava,Multiple-choice quiz | Installing R and RStudio,2,3
Gonca,Multiple-choice quiz | The RStudio IDE,10,10
Gonca,Multiple-choice quiz | The RStudio IDE,8,10
Mathieu,Multiple-choice quiz | The RStudio IDE,10,10
Mathieu,Multiple-choice quiz | The RStudio IDE,6,10
Mathieu,Multiple-choice quiz | The RStudio IDE,6,10
Erik,Multiple-choice quiz | The RStudio IDE,10,10
Erik,Multiple-choice quiz | The RStudio IDE,9,10
Braxton,Multiple-choice quiz | Coding basics,15,15
Erik,Multiple-choice quiz | The RStudio IDE,8,10
Georgina,Multiple-choice quiz | The RStudio IDE,10,10
Braxton,Multiple-choice quiz | The RStudio IDE,10,10
Georgina,Multiple-choice quiz | Installing R and RStudio,3,3
Braxton,Multiple-choice quiz | Installing R and RStudio,3,3
Georgina,Multiple-choice quiz | Installing R and RStudio,2,3
Gonca,Multiple-choice quiz | Installing R and RStudio,3,3
Gerardo,Multiple-choice quiz | The RStudio IDE,9,10
Gerardo,Multiple-choice quiz | The RStudio IDE,8,10
Flávia,Multiple-choice quiz | The RStudio IDE,10,10
Erik,Multiple-choice quiz | Installing R and RStudio,3,3
Flávia,Multiple-choice quiz | Installing R and RStudio,3,3
Gerardo,Multiple-choice quiz | Installing R and RStudio,3,3
Rita,Multiple-choice quiz | Installing R and RStudio,3,3
Léane,Multiple-choice quiz | Installing R and RStudio,3,3
Léane,Multiple-choice quiz | Installing R and RStudio,1,3
Lena,Multiple-choice quiz | Installing R and RStudio,3,3
Nathaniel,Multiple-choice quiz | The RStudio IDE,10,10
Joel,Multiple-choice quiz | The RStudio IDE,10,10
Nathaniel,Multiple-choice quiz | Installing R and RStudio,3,3
Nathaniel,Multiple-choice quiz | Installing R and RStudio,2,3
Janis,Multiple-choice quiz | The RStudio IDE,9,10
Janis,Multiple-choice quiz | The RStudio IDE,8,10
Leif,Multiple-choice quiz | Coding basics,14,15
Jelena,Multiple-choice quiz | The RStudio IDE,10,10
Jelena,Multiple-choice quiz | The RStudio IDE,9,10
Jelena,Multiple-choice quiz | The RStudio IDE,8,10
Braxton,Multiple-choice quiz | Coding basics,13,15
Jelena,Multiple-choice quiz | Installing R and RStudio,3,3
Janis,Multiple-choice quiz | Installing R and RStudio,3,3
Jelena,Multiple-choice quiz | Installing R and RStudio,2,3
Tâmiris,Multiple-choice quiz | Coding basics,14,15
Rose,Multiple-choice quiz | Installing R and RStudio,3,3
Rose,Multiple-choice quiz | Installing R and RStudio,3,3
Rose,Multiple-choice quiz | Installing R and RStudio,2,3
Tâmiris,Multiple-choice quiz | The RStudio IDE,10,10
مهدي,Multiple-choice quiz | The RStudio IDE,10,10
Tâmiris,Multiple-choice quiz | Installing R and RStudio,3,3
Mathieu,Multiple-choice quiz | Installing R and RStudio,3,3
مهدي,Multiple-choice quiz | The RStudio IDE,9,10
Flávia,Multiple-choice quiz | Coding basics,14,15
Leif,Multiple-choice quiz | The RStudio IDE,10,10
Katharina,Multiple-choice quiz | The RStudio IDE,10,10
Katharina,Multiple-choice quiz | The RStudio IDE,9,10
Katharina,Multiple-choice quiz | The RStudio IDE,9,10
Katharina,Multiple-choice quiz | Installing R and RStudio,3,3
Katharina,Multiple-choice quiz | Installing R and RStudio,2,3
Magdalena,Multiple-choice quiz | Coding basics,14,15
Flenn,Multiple-choice quiz | Installing R and RStudio,3,3
Magdalena,Multiple-choice quiz | The RStudio IDE,10,10
Magdalena,Multiple-choice quiz | Installing R and RStudio,3,3
Joel,Multiple-choice quiz | Installing R and RStudio,3,3
Ronald,Multiple-choice quiz | Coding basics,15,15
Ronald,Multiple-choice quiz | Coding basics,13,15
Ronald,Multiple-choice quiz | Coding basics,12,15
Jasmin,Multiple-choice quiz | Coding basics,13,15
Leif,Multiple-choice quiz | Installing R and RStudio,3,3
Jasmin,Multiple-choice quiz | The RStudio IDE,9,10
Inés,Multiple-choice quiz | Installing R and RStudio,3,3
Dhanashri,Multiple-choice quiz | Installing R and RStudio,3,3
Jasmin,Multiple-choice quiz | Installing R and RStudio,3,3
Dhanashri,Multiple-choice quiz | Installing R and RStudio,2,3
Imran,Multiple-choice quiz | The RStudio IDE,10,10
Ronald,Multiple-choice quiz | The RStudio IDE,10,10
Imran,Multiple-choice quiz | The RStudio IDE,9,10
Imran,Multiple-choice quiz | The RStudio IDE,9,10
Bebiano,Multiple-choice quiz | The RStudio IDE,8,10
Bebiano,Multiple-choice quiz | Installing R and RStudio,3,3
Ceyhan,Multiple-choice quiz | Coding basics,13,15
Ceyhan,Multiple-choice quiz | The RStudio IDE,9,10
Santana,Multiple-choice quiz | Installing R and RStudio,3,3
Santana,Multiple-choice quiz | Installing R and RStudio,2,3
مهدي,Multiple-choice quiz | Installing R and RStudio,3,3
Ronald,Multiple-choice quiz | Installing R and RStudio,3,3
Georgina,Multiple-choice quiz | The RStudio IDE,10,10
Ceyhan,Multiple-choice quiz | Installing R and RStudio,3,3
Calisto,Multiple-choice quiz | Coding basics,14,15
Isabel,Multiple-choice quiz | Installing R and RStudio,3,3
Flávia,Multiple-choice quiz | The RStudio IDE,9,10
Flávia,Multiple-choice quiz | Installing R and RStudio,3,3
Philippe,Multiple-choice quiz | Coding basics,15,15
Philippe,Multiple-choice quiz | Coding basics,13,15
Philippe,Multiple-choice quiz | Coding basics,14,15
Victor,Multiple-choice quiz | Coding basics,12,15
Victor,Multiple-choice quiz | The RStudio IDE,10,10
Victor,Multiple-choice quiz | Installing R and RStudio,3,3
Lincoln,Multiple-choice quiz | Coding basics,14,15
Guillermo,Multiple-choice quiz | The RStudio IDE,9,10
Lincoln,Multiple-choice quiz | The RStudio IDE,10,10
Lincoln,Multiple-choice quiz | Installing R and RStudio,3,3
Gwendolyn,Multiple-choice quiz | The RStudio IDE,10,10
Calisto,Multiple-choice quiz | The RStudio IDE,10,10
Philippe,Multiple-choice quiz | The RStudio IDE,10,10
Guillermo,Multiple-choice quiz | Installing R and RStudio,3,3
Philippe,Multiple-choice quiz | Installing R and RStudio,3,3
Mitar,Multiple-choice quiz | Installing R and RStudio,3,3
Mitar,Multiple-choice quiz | Installing R and RStudio,3,3
Sara,Multiple-choice quiz | Coding basics,15,15
Mitar,Multiple-choice quiz | The RStudio IDE,10,10
Calisto,Multiple-choice quiz | Installing R and RStudio,3,3
Sara,Multiple-choice quiz | Coding basics,14,15
Sara,Multiple-choice quiz | Coding basics,14,15
Mitar,Multiple-choice quiz | Coding basics,15,15
Mitar,Multiple-choice quiz | Coding basics,14,15
Mitar,Multiple-choice quiz | Coding basics,14,15
Amoli,Multiple-choice quiz | Coding basics,12,15
Amoli,Multiple-choice quiz | Coding basics,5,15
Imran,Multiple-choice quiz | Installing R and RStudio,3,3
Imran,Multiple-choice quiz | Installing R and RStudio,3,3
Imran,Multiple-choice quiz | Installing R and RStudio,2,3
Antoine,Multiple-choice quiz | Installing R and RStudio,3,3
Antoine,Multiple-choice quiz | Installing R and RStudio,0,3
Antoine,Multiple-choice quiz | Installing R and RStudio,1,3
Antoine,Multiple-choice quiz | Installing R and RStudio,1,3
Antoine,Multiple-choice quiz | Installing R and RStudio,3,3
Spasoje,Multiple-choice quiz | The RStudio IDE,10,10
Spasoje,Multiple-choice quiz | Installing R and RStudio,3,3
Spasoje,Multiple-choice quiz | Installing R and RStudio,2,3
Gwendolyn,Multiple-choice quiz | Coding basics,NA,NA
Rose,Multiple-choice quiz | Installing R and RStudio,3,3
Gwendolyn,Multiple-choice quiz | The RStudio IDE,0,10
Gwendolyn,Multiple-choice quiz | The RStudio IDE,5,10
Gwendolyn,Multiple-choice quiz | Installing R and RStudio,19,20
Isabel,Multiple-choice quiz | Installing R and RStudio,NA,NA
Isabel,Multiple-choice quiz | Installing R and RStudio,NA,NA
Isabel,Multiple-choice quiz | Installing R and RStudio,NA,NA
Gwendolyn,Multiple-choice quiz | Installing R and RStudio,NA,NA
Gwendolyn,Multiple-choice quiz | Installing R and RStudio,NA,NA
Gwendolyn,Multiple-choice quiz | Installing R and RStudio,NA,NA
